Query_ID,k,m,Calculated_Inter_Cluster_Entropy,Calculated_Intra_Cluster_Entropy,query_video,query_caption
Sample_001,33,8,0.010193210971593718,0.005215371356575461,sample_00003239,"In the video, the screen shows a man using a cellphone to make a call indoors."
Sample_002,33,8,0.010972163032031954,0.01028819143987457,sample_00000499,"In the video, we see a character standing in a lush environment, wearing military uniform, with a sm..."
Sample_003,33,8,0.010188532605456402,0.007203882263681465,sample_00000153,"Input: In the video, at the beginning of the video, we see a lady with a smile on her face, her mout..."
Sample_004,33,8,0.010566849421640325,0.0049735716080191545,sample_00001175,"In the video, the scene shows a woman sitting indoors, appearing to be in a restaurant or café."
Sample_005,33,8,0.011112109160408976,0.008198660858444201,sample_00001074,"In the video, the screen shows a man sitting opposite a woman in an indoor setting."
Sample_006,33,8,0.01681891816069148,0.002519654446854914,sample_00001000,"In the video, the screen shows a man wearing a white coat and a tie, presumably a doctor."
Sample_007,33,8,0.010155000593370645,0.007637142607768882,sample_00000602,"In the video, this segment shows a close-up shot of a male character engaged in a conversation with ..."
Sample_008,33,8,0.005751213524284173,0.006551159503317921,sample_00000444,"Input: In the video, at the beginning, we see a lady whose facial expression appears very happy and ..."
Sample_009,33,8,0.009822890926918506,0.008077213849188043,sample_00002339,"In the video, the scene shows two individuals in a dimly lit indoor environment."
Sample_010,33,8,0.006881057342109305,0.007692726932324525,sample_00000385,"Input: In the video, in the opening scene, we see a character inside a store with products on the sh..."
Sample_011,33,8,0.00433377890846291,0.004924211325677052,sample_00002565,"In the video, the screen shows a male character wearing a black shirt, with a luxurious indoor envir..."
Sample_012,33,8,0.006123379640822455,0.004657653918410089,sample_00001762,"Input: In the video, we see a male character sitting in an indoor environment with a whiteboard and ..."
Sample_013,33,8,0.011390120485354361,0.007361056452250737,sample_00000203,"Input: In the video, at the beginning of the video, we see a female character sitting indoors."
Sample_014,33,8,0.005888958299946349,0.006157845698574945,sample_00000176,"Input: In the video, it is impossible to determine the characters' emotional state; in the audio, it..."
Sample_015,33,8,0.008574540693617865,0.005754021489460203,sample_00000406,"In the video, the screen shows a woman sitting indoors."
Sample_016,33,8,0.008712914010177571,0.008177060120417036,sample_00000972,"In the video, in the opening scene, we see a female character with a serious facial expression, tigh..."
Sample_017,33,8,0.010939826335987042,0.012651157169292994,sample_00001043,"In the video, we see a female character having a conversation with a male character."
Sample_018,33,8,0.00815601405295831,0.008516042813123613,sample_00002187,"Input: In the video, the frame includes a woman and a man."
Sample_019,33,8,0.011149773886109823,0.005535155378289587,sample_00002783,"In the video, the scene shows a woman sitting indoors."
Sample_020,33,8,0.006059116814551975,0.006224939135459181,sample_00000166,"In the video, the screen shows a man leaning slightly forward, which may indicate that he is paying ..."
Sample_021,33,8,0.009983560159122724,0.008466833979704264,sample_00002449,"In the video, the screen shows a woman wearing a star-patterned outfit."
Sample_022,33,8,0.004342578836196373,0.0043643723973783004,sample_00000881,"In the video, the screen shows a woman indoors."
Sample_023,33,8,0.005665591912963446,0.008468264205617384,sample_00001756,"Input: In the video, the screen shows a female character looking attentively at the male on the left..."
Sample_024,33,8,0.010499346945855574,0.006521972720767338,sample_00000980,"In the video, we see a male character with a smile on his face, gentle eyes, and the corners of his ..."
Sample_025,33,8,0.012616946625435829,0.01112747689617903,sample_00001846,"In the video, the screen shows a female character."
Sample_026,33,8,0.009262382997978139,0.009111121724766125,sample_00002563,"In the video, the screen shows a man inside a store."
Sample_027,33,8,0.004344834183515665,0.007387072675770852,sample_00001178,"Input: In the video, at the beginning of the video, we see three people sitting together."
Sample_028,33,8,0.007063852740644557,0.0064416750069389685,sample_00000033,"In the video, the screen shows a close-up shot of a male."
Sample_029,33,8,0.010472979117089245,0.006135679397950299,sample_00000665,"In the video, in the opening scene, we see a male character with a slightly melancholic expression."
Sample_030,33,8,0.00681129814404198,0.009678074771199623,sample_00001393,"Input: In the video, the frame contains two characters, with the character on the left facing the ca..."
Sample_031,33,8,0.013168781838019313,0.008658490501926661,sample_00000648,"In the video, we see a woman with expressive mouth movements, seemingly expressing her views or emot..."
Sample_032,33,8,0.0070029191418335916,0.005931173987409543,sample_00000960,"Input: In the video, at the beginning of the video, we see a male character with a serious facial ex..."
Sample_033,33,8,0.007119520677957036,0.007594626467272956,sample_00001383,"In the video, we see a woman with a slight upward curve at the corner of her mouth, wearing a smile,..."
Sample_034,33,8,0.00671404074091626,0.005820070557331571,sample_00001614,"In the video, the screen shows a female character with an indoor background."
Sample_035,33,8,0.009007816081218614,0.005381501150246455,sample_00000420,"In the video, in the opening scene, we see a woman sitting indoors with bright windows and green pla..."
Sample_036,33,8,0.01283725540752776,0.007872178686781367,sample_00001455,"In the video, the screen shows a female character standing in front of a dim background, with a micr..."
Sample_037,33,8,0.013453793090158381,0.006772260735587568,sample_00001416,"Input: In the video, the left lady (wearing an apron) and the right lady (wearing a green shirt) are..."
Sample_038,33,8,0.015383210862088615,0.008890146376933031,sample_00002785,"In the video, the screen shows a man sitting in a luxuriously decorated environment."
Sample_039,33,8,0.007586086878186774,0.009017964456947693,sample_00001142,"In the video, the character is wearing a police uniform, with a furrowed brow and slightly downturne..."
Sample_040,33,8,0.007157172761515778,0.006365773672907065,sample_00000220,"Input: In the video, the screen shows a male character in an indoor setting."
Sample_041,33,8,0.003265909250086928,0.006401533435212533,sample_00001921,"In the video, the screen shows a woman sitting in the driver's seat of a car, and she is using her p..."
Sample_042,33,8,0.007998876308683072,0.005685279065030625,sample_00002311,"In the video, the screen shows a man wearing a suit and a black bow tie, standing in a studio simila..."
Sample_043,33,8,0.007365652019842439,0.005222541341302801,sample_00000529,"In the video, it is difficult to determine the emotional state of the person."
Sample_044,33,8,0.01167245373688905,0.00769364677926488,sample_00001589,"In the video, the screen shows a female character whose facial expression appears very painful."
Sample_045,33,8,0.008940122206756274,0.006833388636365468,sample_00000363,"Input: In the video, the screen shows a female character in an indoor setting."
Sample_046,33,8,0.007617435024339268,0.006330852365795288,sample_00002394,"Input: In the video, the screen shows a male character, with a blurred background, but it can be see..."
Sample_047,33,8,0.012911648640803384,0.010530942888369933,sample_00001215,"In the video, the screen shows a female character."
Sample_048,33,8,0.00915489191486965,0.002607577393506913,sample_00003116,"In the video, the scene shows a person lying on a bed, dressed in what appears to be a patient gown,..."
Sample_049,33,8,0.006443696983145126,0.01228719720450172,sample_00003025,"In the video, the scene shows a male character wearing a police uniform and a female character in ca..."
Sample_050,33,8,0.010031242727873207,0.007698747098087893,sample_00001492,"Input: In the video, the frame includes a man on the right side (facing the camera) and a man on the..."
